Participant: AY
11 29 18 16:25:20
image_duration: 0.20
precue_duration: 1.00
pause_duration: 0.50
nBlocks: 4
image_1	image_2	image_3	image_4	pre_or_post_cue	which_image_cued	pelasure	key_pressed	rt	
Lake 12.jpg	Injury 1.jpg	Feces 1.jpg	Goat 2.jpg	2	5	3	32	1.192873e+00
Feces 1.jpg	Feces 2.jpg	Office supplies 1.jpg	Goat 2.jpg	2	3	1	30	2.212374e-01
Gazing 7.jpg	Wedding 12.jpg	Dead bodies 1.jpg	Beach 2.jpg	2	1	5	34	5.188902e+00
Lake 14.jpg	Dog 19.jpg	Cat 10.jpg	Alcohol 5.jpg	2	4	4	33	6.283376e-01
Cat 10.jpg	Wedding 12.jpg	Bored pose 1.jpg	Sunset 4.jpg	2	1	4	33	4.951188e-01
Lake 12.jpg	Goat 2.jpg	Injury 1.jpg	Dead bodies 1.jpg	2	3	1	30	2.529636e-01
Lake 15.jpg	Dead bodies 1.jpg	Alcohol 5.jpg	Tumor 1.jpg	2	2	1	30	1.726891e-01
Cotton swabs 2.jpg	Injury 1.jpg	Feces 1.jpg	KKK rally 1.jpg	2	3	1	30	3.171949e+00
Fence 4.jpg	Fire hydrant 2.jpg	Beach 2.jpg	Sunset 3.jpg	2	1	5	34	4.689388e-01
Injury 1.jpg	Sunset 4.jpg	KKK rally 1.jpg	Street 4.jpg	2	3	1	30	4.885730e-01
Plane crash 3.jpg	Tumor 1.jpg	KKK rally 1.jpg	Fire hydrant 2.jpg	2	1	1	30	1.374489e-01
Dog 19.jpg	Sunset 3.jpg	Street 4.jpg	Spider 2.jpg	2	3	1	30	3.058582e+00
Street 4.jpg	Gazing 7.jpg	Beach 2.jpg	Alcohol 5.jpg	2	2	7	36	6.433283e-01
Dirt 5.jpg	Heart 1.jpg	Street 4.jpg	Dog 19.jpg	2	4	7	36	5.033098e-01
Dead bodies 1.jpg	Sunset 4.jpg	Lake 14.jpg	Bored pose 1.jpg	2	3	1	30	3.747390e-01
Cliff diver 1.jpg	Plane crash 3.jpg	Goat 2.jpg	Injury 1.jpg	2	1	1	30	3.384295e+00
Injury 4.jpg	Nature 1.jpg	Sunset 4.jpg	Heart 1.jpg	2	3	1	30	4.972041e-02
KKK rally 1.jpg	Fire hydrant 2.jpg	Fence 4.jpg	Nature 1.jpg	2	5	1	30	2.925634e-01
Sunset 3.jpg	Injury 4.jpg	Tumor 1.jpg	Lake 9.jpg	2	2	1	30	1.659365e-01
Feces 2.jpg	Tumor 1.jpg	Cotton swabs 2.jpg	Injury 4.jpg	2	1	1	30	3.307028e+00
Sunset 4.jpg	Goat 2.jpg	Spider 2.jpg	Beach 2.jpg	2	2	1	30	2.954793e+00
Goat 2.jpg	Fence 2.jpg	Spider 2.jpg	Severed finger 1.jpg	2	2	1	30	2.529156e-01
Bored pose 1.jpg	Cotton swabs 2.jpg	Lake 15.jpg	Dead bodies 1.jpg	2	2	1	30	1.783549e-01
Tumor 1.jpg	Lake 15.jpg	Sunset 3.jpg	Dog 19.jpg	2	5	1	30	3.334297e+00
Dog 13.jpg	Fire hydrant 2.jpg	Lake 12.jpg	Cat 10.jpg	2	3	5	34	2.601855e-01
Alcohol 5.jpg	Sunset 4.jpg	Fence 2.jpg	Cliff diver 1.jpg	2	5	7	36	2.527665e-01
Tumor 1.jpg	Plane crash 3.jpg	Spider 2.jpg	Fence 2.jpg	2	2	1	30	5.016740e-01
Spider 2.jpg	Lake 14.jpg	Lake 12.jpg	Dirt 5.jpg	2	4	4	33	5.753413e-01
Bar 2.jpg	Cotton swabs 2.jpg	Severed finger 1.jpg	Fence 2.jpg	2	4	1	30	8.810035e-01
Injury 4.jpg	Cotton swabs 2.jpg	Cat 10.jpg	Office supplies 1.jpg	2	5	1	30	9.742619e-01
Beach 2.jpg	Cotton swabs 2.jpg	Dog 19.jpg	Dog 13.jpg	2	4	4	33	1.207211e+00
