Participant: JH
12 06 18 15:17:44
image_duration: 0.20
precue_duration: 1.00
pause_duration: 0.50
nBlocks: 4
image_1	image_2	image_3	image_4	pre_or_post_cue	which_image_cued	pelasure	key_pressed	rt	
Spider 2.jpg	Heart 1.jpg	Street 4.jpg	Dog 19.jpg	2	3	4	33	1.168161e+00
Street 4.jpg	Fire hydrant 2.jpg	Beach 2.jpg	Sunset 3.jpg	2	2	4	33	1.815832e+00
Lake 12.jpg	Fence 4.jpg	Beach 2.jpg	Cat 10.jpg	2	3	2	31	2.063364e+00
Tumor 1.jpg	Spider 2.jpg	Bored pose 1.jpg	Sunset 4.jpg	2	5	7	36	1.697135e+00
Cliff diver 1.jpg	Sunset 4.jpg	KKK rally 1.jpg	Street 4.jpg	2	2	4	33	9.919097e-01
Injury 4.jpg	Wedding 12.jpg	Dead bodies 1.jpg	Beach 2.jpg	2	2	8	37	2.180453e+00
Goat 2.jpg	Bored pose 1.jpg	Plane crash 3.jpg	Bar 2.jpg	2	2	5	34	1.146365e+00
Dog 19.jpg	Heart 1.jpg	Severed finger 1.jpg	Cotton swabs 2.jpg	2	3	5	34	1.017285e+00
Sunset 3.jpg	Lake 14.jpg	Lake 12.jpg	Dirt 5.jpg	2	4	7	36	9.348393e-01
Fire hydrant 2.jpg	Wedding 12.jpg	Bored pose 1.jpg	Sunset 4.jpg	2	2	3	32	9.775734e-01
Fence 2.jpg	Gazing 7.jpg	Beach 2.jpg	Alcohol 5.jpg	2	1	7	36	7.658449e-01
Alcohol 5.jpg	Cliff diver 1.jpg	Injury 4.jpg	Sunset 3.jpg	2	3	4	33	7.539538e-01
Fence 4.jpg	Dirt 5.jpg	Lake 9.jpg	Dead bodies 1.jpg	2	3	2	31	1.032391e+00
Heart 1.jpg	Dead bodies 1.jpg	Injury 1.jpg	Lake 12.jpg	2	1	3	32	1.091812e+00
Cotton swabs 2.jpg	Office supplies 1.jpg	Cliff diver 1.jpg	Lake 14.jpg	2	2	5	34	6.567610e-01
Beach 2.jpg	Fire hydrant 2.jpg	Lake 12.jpg	Cat 10.jpg	2	1	7	36	5.451049e-01
Cliff diver 1.jpg	Cotton swabs 2.jpg	Street 4.jpg	Fence 2.jpg	2	5	5	34	1.720085e+00
Dead bodies 1.jpg	Tumor 1.jpg	KKK rally 1.jpg	Fire hydrant 2.jpg	2	2	5	34	2.866484e+00
Lake 9.jpg	Nature 1.jpg	Lake 15.jpg	Lake 14.jpg	2	2	7	36	5.849269e-01
Gazing 7.jpg	Plane crash 3.jpg	Alcohol 5.jpg	Lake 9.jpg	2	5	9	38	5.281296e-01
KKK rally 1.jpg	Sunset 4.jpg	Lake 14.jpg	Bored pose 1.jpg	2	3	2	31	7.274895e-01
Feces 2.jpg	Goat 2.jpg	Spider 2.jpg	Beach 2.jpg	2	4	4	33	7.257312e-01
