Participant: JR
12 06 18 16:02:43
image_duration: 0.20
precue_duration: 1.00
pause_duration: 0.50
nBlocks: 4
image_1	image_2	image_3	image_4	pre_or_post_cue	which_image_cued	pelasure	key_pressed	rt	
Sunset 4.jpg	Feces 1.jpg	Severed finger 1.jpg	Bored pose 1.jpg	2	2	4	33	1.601587e+00
KKK rally 1.jpg	Office supplies 1.jpg	Injury 1.jpg	Fence 4.jpg	2	2	5	34	2.438762e+00
Alcohol 5.jpg	Cotton swabs 2.jpg	Injury 1.jpg	Beach 2.jpg	2	1	6	35	2.111491e+00
Lake 15.jpg	Lake 9.jpg	Wedding 12.jpg	Dog 19.jpg	2	4	8	37	1.413408e+00
Street 4.jpg	Injury 4.jpg	Lake 12.jpg	Bar 2.jpg	2	3	8	37	3.074907e+00
Feces 2.jpg	Dog 19.jpg	Injury 1.jpg	Sunset 4.jpg	2	3	7	36	1.404379e+00
Beach 2.jpg	Bored pose 1.jpg	Sunset 3.jpg	Wedding 12.jpg	2	3	8	37	1.103754e+00
Gazing 7.jpg	Lake 9.jpg	Lake 15.jpg	Goat 2.jpg	2	1	8	37	2.701189e+00
Dog 19.jpg	Injury 1.jpg	Lake 9.jpg	Fence 2.jpg	2	4	3	32	1.018516e+00
Severed finger 1.jpg	Injury 4.jpg	Wedding 12.jpg	Cat 10.jpg	2	1	2	31	1.645494e+00
Goat 2.jpg	KKK rally 1.jpg	Office supplies 1.jpg	Beach 2.jpg	2	2	3	32	2.008484e+00
Gazing 7.jpg	Sunset 4.jpg	Plane crash 3.jpg	Fence 2.jpg	2	5	8	37	2.227744e+00
Feces 1.jpg	Alcohol 5.jpg	Bar 2.jpg	Dog 19.jpg	2	4	5	34	1.200867e+00
Injury 1.jpg	Sunset 4.jpg	Lake 14.jpg	Wedding 12.jpg	2	3	3	32	2.907531e+00
Feces 2.jpg	Lake 12.jpg	Beach 2.jpg	Wedding 12.jpg	2	5	5	34	4.032295e+00
Cat 10.jpg	Fence 2.jpg	Feces 1.jpg	Spider 2.jpg	2	2	3	32	5.250074e-01
Cliff diver 1.jpg	Injury 4.jpg	Plane crash 3.jpg	Injury 1.jpg	2	3	7	36	2.519074e+00
Plane crash 3.jpg	Dog 19.jpg	KKK rally 1.jpg	Gazing 7.jpg	2	2	7	36	1.099508e+00
Street 4.jpg	Goat 2.jpg	Cotton swabs 2.jpg	Alcohol 5.jpg	2	5	8	37	2.336358e+00
Fire hydrant 2.jpg	Dog 13.jpg	Severed finger 1.jpg	Cliff diver 1.jpg	2	5	4	33	1.697824e+00
Lake 14.jpg	Injury 1.jpg	Dirt 5.jpg	Cat 10.jpg	2	5	7	36	3.009010e+00
Bar 2.jpg	Dog 19.jpg	Sunset 3.jpg	Bored pose 1.jpg	2	5	6	35	1.284862e+00
Injury 4.jpg	Fence 2.jpg	Tumor 1.jpg	Nature 1.jpg	2	4	3	32	8.862747e-01
Lake 15.jpg	Tumor 1.jpg	Nature 1.jpg	Spider 2.jpg	2	5	8	37	8.184973e-01
Bar 2.jpg	KKK rally 1.jpg	Office supplies 1.jpg	Fence 2.jpg	2	2	6	35	1.911037e+00
Fire hydrant 2.jpg	Cat 10.jpg	Beach 2.jpg	Lake 14.jpg	2	3	7	36	1.767463e+00
Spider 2.jpg	Feces 1.jpg	Dog 13.jpg	Cotton swabs 2.jpg	2	1	3	32	6.981480e-01
Dead bodies 1.jpg	Lake 15.jpg	Goat 2.jpg	Cliff diver 1.jpg	2	3	4	33	1.245191e+00
Dog 13.jpg	Lake 14.jpg	Dog 19.jpg	Alcohol 5.jpg	2	3	4	33	6.246399e-01
Dirt 5.jpg	Fence 4.jpg	Injury 1.jpg	Dead bodies 1.jpg	2	4	4	33	1.358848e+00
Lake 14.jpg	Beach 2.jpg	Gazing 7.jpg	Cliff diver 1.jpg	2	3	7	36	6.551616e+00
Sunset 3.jpg	Lake 12.jpg	Bar 2.jpg	Lake 15.jpg	2	1	2	31	6.373603e-01
Bored pose 1.jpg	Injury 4.jpg	Nature 1.jpg	Dead bodies 1.jpg	2	4	9	38	2.220922e+00
Tumor 1.jpg	Beach 2.jpg	Wedding 12.jpg	Fence 4.jpg	2	4	3	32	1.608553e+00
Fence 4.jpg	Bored pose 1.jpg	Sunset 3.jpg	Feces 1.jpg	2	2	5	34	9.248350e-01
Office supplies 1.jpg	Feces 1.jpg	Fence 4.jpg	Heart 1.jpg	2	5	8	37	1.205970e+00
Heart 1.jpg	Street 4.jpg	Lake 12.jpg	Feces 2.jpg	2	4	3	32	1.228439e+00
Wedding 12.jpg	Feces 2.jpg	Dog 19.jpg	Dirt 5.jpg	2	4	2	31	6.351851e-01
Cotton swabs 2.jpg	Fence 4.jpg	Sunset 4.jpg	Fence 2.jpg	2	1	2	31	5.312722e-01
Fence 2.jpg	Lake 15.jpg	Cat 10.jpg	Lake 12.jpg	2	1	2	31	7.307236e-01
Lake 9.jpg	Spider 2.jpg	Injury 1.jpg	Cat 10.jpg	2	1	8	37	7.895725e-01
Nature 1.jpg	Cliff diver 1.jpg	KKK rally 1.jpg	Heart 1.jpg	2	2	8	37	1.526795e+00
KKK rally 1.jpg	Lake 9.jpg	Injury 4.jpg	Dead bodies 1.jpg	2	5	2	31	1.457911e+00
Lake 12.jpg	Street 4.jpg	Dog 13.jpg	Injury 1.jpg	2	1	7	36	1.956368e+00
Office supplies 1.jpg	Dog 13.jpg	Tumor 1.jpg	Feces 1.jpg	2	2	5	34	3.006738e+00
Lake 15.jpg	Lake 9.jpg	Wedding 12.jpg	Dog 19.jpg	1	4	8	37	4.624067e+00
Office supplies 1.jpg	Dog 13.jpg	Tumor 1.jpg	Feces 1.jpg	1	2	3	32	3.129087e+00
Cotton swabs 2.jpg	Fence 4.jpg	Sunset 4.jpg	Fence 2.jpg	1	1	3	32	6.129148e-01
Fire hydrant 2.jpg	Dog 13.jpg	Severed finger 1.jpg	Cliff diver 1.jpg	1	5	4	33	5.025532e-01
Fence 2.jpg	Lake 15.jpg	Cat 10.jpg	Lake 12.jpg	1	1	3	32	7.046647e-01
Feces 2.jpg	Lake 12.jpg	Beach 2.jpg	Wedding 12.jpg	1	5	2	31	7.178171e-01
Street 4.jpg	Injury 4.jpg	Lake 12.jpg	Bar 2.jpg	1	3	3	32	2.170172e+00
Beach 2.jpg	Bored pose 1.jpg	Sunset 3.jpg	Wedding 12.jpg	1	3	2	31	3.158634e+00
KKK rally 1.jpg	Office supplies 1.jpg	Injury 1.jpg	Fence 4.jpg	1	2	2	31	4.501875e+00
Injury 1.jpg	Sunset 4.jpg	Lake 14.jpg	Wedding 12.jpg	1	3	1	30	3.820310e+00
Tumor 1.jpg	Beach 2.jpg	Wedding 12.jpg	Fence 4.jpg	1	4	2	31	1.611066e+00
Lake 14.jpg	Injury 1.jpg	Dirt 5.jpg	Cat 10.jpg	1	5	4	33	7.513493e-01
Goat 2.jpg	KKK rally 1.jpg	Office supplies 1.jpg	Beach 2.jpg	1	2	2	31	3.967747e-01
Bar 2.jpg	Dog 19.jpg	Sunset 3.jpg	Bored pose 1.jpg	1	5	8	37	3.497720e-01
Sunset 4.jpg	Feces 1.jpg	Severed finger 1.jpg	Bored pose 1.jpg	1	2	8	37	1.218161e+00
Lake 15.jpg	Tumor 1.jpg	Nature 1.jpg	Spider 2.jpg	1	5	2	31	1.303566e-01
Street 4.jpg	Goat 2.jpg	Cotton swabs 2.jpg	Alcohol 5.jpg	1	5	6	35	1.772610e+00
Lake 9.jpg	Spider 2.jpg	Injury 1.jpg	Cat 10.jpg	1	1	9	38	4.911077e-01
