Participant: LG
06 14 18 13:02:30
image_duration: 0.20
precue_duration: 1.00
pause_duration: 0.50
nBlocks: 4
image_1	image_2	image_3	image_4	pre_or_post_cue	which_image_cued	pelasure	key_pressed	rt	
KKK rally 1.jpg	Injury 4.jpg	Dog 19.jpg	Lake 15.jpg	2	4	5	34	5.416885e+00
Cliff diver 1.jpg	Feces 1.jpg	Sunset 3.jpg	Lake 14.jpg	2	2	6	35	2.700648e+00
Sunset 3.jpg	KKK rally 1.jpg	Cat 10.jpg	Dog 19.jpg	2	2	5	34	2.316091e+00
Severed finger 1.jpg	KKK rally 1.jpg	Heart 1.jpg	Lake 15.jpg	2	2	2	31	2.214320e+00
Sunset 4.jpg	Lake 15.jpg	Cotton swabs 2.jpg	Gazing 7.jpg	2	5	3	32	3.079606e+00
Fence 4.jpg	Cotton swabs 2.jpg	Wedding 12.jpg	Street 4.jpg	2	3	1	30	1.096451e+00
Alcohol 5.jpg	Bar 2.jpg	Plane crash 3.jpg	Lake 12.jpg	2	5	3	32	1.007615e+00
Fire hydrant 2.jpg	Fence 2.jpg	Bar 2.jpg	Goat 2.jpg	2	4	2	31	3.788729e+00
Nature 1.jpg	Cliff diver 1.jpg	Fence 4.jpg	Dead bodies 1.jpg	2	4	2	31	4.220868e+00
Heart 1.jpg	Office supplies 1.jpg	Bored pose 1.jpg	Beach 2.jpg	2	4	2	31	4.801203e+00
Street 4.jpg	Bored pose 1.jpg	Fence 2.jpg	Heart 1.jpg	2	5	1	30	8.363899e-01
Injury 4.jpg	Feces 2.jpg	Severed finger 1.jpg	Dog 19.jpg	2	2	2	31	3.017128e+00
Fence 4.jpg	Lake 14.jpg	Wedding 12.jpg	Office supplies 1.jpg	2	5	4	33	1.803079e+00
Beach 2.jpg	Nature 1.jpg	Cat 10.jpg	Fire hydrant 2.jpg	2	5	3	32	5.137706e+00
Dog 13.jpg	Dead bodies 1.jpg	Cliff diver 1.jpg	KKK rally 1.jpg	2	5	6	35	5.363585e-01
Bored pose 1.jpg	Injury 1.jpg	Goat 2.jpg	Lake 9.jpg	2	3	1	30	1.678766e+00
Severed finger 1.jpg	Goat 2.jpg	Feces 1.jpg	Dog 19.jpg	2	5	4	33	3.681934e+00
Spider 2.jpg	Dead bodies 1.jpg	Fire hydrant 2.jpg	Tumor 1.jpg	2	1	1	30	1.089112e+00
Dead bodies 1.jpg	Injury 4.jpg	Spider 2.jpg	Feces 2.jpg	2	3	5	34	5.690249e+00
Fence 2.jpg	Cliff diver 1.jpg	Goat 2.jpg	Cotton swabs 2.jpg	2	3	2	31	2.499837e+00
Lake 9.jpg	Bar 2.jpg	Fire hydrant 2.jpg	Dirt 5.jpg	2	1	2	31	1.988843e+00
Plane crash 3.jpg	Sunset 4.jpg	Dog 19.jpg	Feces 1.jpg	2	2	1	30	1.206894e+00
Bar 2.jpg	Feces 2.jpg	KKK rally 1.jpg	Nature 1.jpg	2	3	2	31	3.981017e+00
Cat 10.jpg	Cotton swabs 2.jpg	Bored pose 1.jpg	Severed finger 1.jpg	2	4	4	33	1.256921e+00
Lake 14.jpg	Goat 2.jpg	Plane crash 3.jpg	Dirt 5.jpg	2	3	1	30	8.132812e-01
Goat 2.jpg	Alcohol 5.jpg	Sunset 4.jpg	Injury 4.jpg	2	4	7	36	1.948640e+00
Beach 2.jpg	Feces 2.jpg	Dead bodies 1.jpg	Cotton swabs 2.jpg	2	4	1	30	6.220999e-01
Dog 13.jpg	Spider 2.jpg	Beach 2.jpg	Nature 1.jpg	2	1	5	34	2.145418e+00
Feces 2.jpg	Injury 4.jpg	Tumor 1.jpg	Spider 2.jpg	2	5	1	30	1.509100e+00
Alcohol 5.jpg	Injury 4.jpg	Lake 9.jpg	Sunset 4.jpg	2	1	2	31	1.262327e+00
Cotton swabs 2.jpg	Sunset 3.jpg	Nature 1.jpg	Bored pose 1.jpg	2	1	6	35	3.193508e+00
Injury 1.jpg	Lake 9.jpg	Dirt 5.jpg	Sunset 3.jpg	2	5	1	30	9.381552e-01
Street 4.jpg	Injury 1.jpg	Spider 2.jpg	Dead bodies 1.jpg	2	1	1	30	3.075863e+00
Lake 12.jpg	Plane crash 3.jpg	Sunset 3.jpg	Goat 2.jpg	2	2	1	30	4.361800e-01
Injury 1.jpg	Dog 19.jpg	Lake 9.jpg	Wedding 12.jpg	2	1	2	31	4.685681e+00
Feces 1.jpg	KKK rally 1.jpg	Nature 1.jpg	Dirt 5.jpg	2	2	1	30	1.518851e+00
Sunset 4.jpg	Bar 2.jpg	Dog 19.jpg	Beach 2.jpg	2	4	6	35	1.352313e+00
Dog 19.jpg	Plane crash 3.jpg	Bored pose 1.jpg	Sunset 4.jpg	2	3	4	33	3.646602e+00
Wedding 12.jpg	Sunset 3.jpg	Nature 1.jpg	Lake 14.jpg	2	4	6	35	1.340895e+00
Office supplies 1.jpg	Plane crash 3.jpg	Heart 1.jpg	Cotton swabs 2.jpg	2	2	4	33	6.341580e+00
Dirt 5.jpg	Bored pose 1.jpg	Gazing 7.jpg	Feces 1.jpg	2	3	1	30	1.177349e-01
Feces 2.jpg	Bored pose 1.jpg	Feces 1.jpg	Injury 1.jpg	2	1	1	30	6.568683e-01
Tumor 1.jpg	Cliff diver 1.jpg	Lake 12.jpg	Injury 4.jpg	2	1	4	33	2.204545e+00
Gazing 7.jpg	Cliff diver 1.jpg	Cotton swabs 2.jpg	Bar 2.jpg	2	3	3	32	5.231798e-01
Lake 15.jpg	Street 4.jpg	Lake 12.jpg	Alcohol 5.jpg	2	2	6	35	1.188091e+00
Cliff diver 1.jpg	Feces 1.jpg	Sunset 3.jpg	Lake 14.jpg	1	2	4	33	2.333751e+00
Goat 2.jpg	Alcohol 5.jpg	Sunset 4.jpg	Injury 4.jpg	1	4	6	35	1.136614e+00
Lake 9.jpg	Bar 2.jpg	Fire hydrant 2.jpg	Dirt 5.jpg	1	1	1	30	8.635055e-01
Sunset 4.jpg	Bar 2.jpg	Dog 19.jpg	Beach 2.jpg	1	4	3	32	3.005169e+00
Spider 2.jpg	Dead bodies 1.jpg	Fire hydrant 2.jpg	Tumor 1.jpg	1	1	1	30	1.141557e+00
Office supplies 1.jpg	Plane crash 3.jpg	Heart 1.jpg	Cotton swabs 2.jpg	1	2	1	30	1.590587e+00
Feces 1.jpg	KKK rally 1.jpg	Nature 1.jpg	Dirt 5.jpg	1	2	2	31	7.992278e-01
Wedding 12.jpg	Sunset 3.jpg	Nature 1.jpg	Lake 14.jpg	1	4	3	32	1.560687e+00
Feces 2.jpg	Bored pose 1.jpg	Feces 1.jpg	Injury 1.jpg	1	1	1	30	2.351662e-02
Fence 2.jpg	Cliff diver 1.jpg	Goat 2.jpg	Cotton swabs 2.jpg	1	3	2	31	1.898061e+00
Plane crash 3.jpg	Sunset 4.jpg	Dog 19.jpg	Feces 1.jpg	1	2	1	30	3.546670e-01
Bar 2.jpg	Feces 2.jpg	KKK rally 1.jpg	Nature 1.jpg	1	3	1	30	1.860786e-01
Injury 1.jpg	Lake 9.jpg	Dirt 5.jpg	Sunset 3.jpg	1	5	1	30	3.831852e-01
Bored pose 1.jpg	Injury 1.jpg	Goat 2.jpg	Lake 9.jpg	1	3	1	30	9.428430e-01
Nature 1.jpg	Cliff diver 1.jpg	Fence 4.jpg	Dead bodies 1.jpg	1	4	2	31	2.679761e-01
Fence 4.jpg	Cotton swabs 2.jpg	Wedding 12.jpg	Street 4.jpg	1	3	1	30	3.482613e-01
Alcohol 5.jpg	Bar 2.jpg	Plane crash 3.jpg	Lake 12.jpg	1	5	6	35	1.608578e+00
Severed finger 1.jpg	KKK rally 1.jpg	Heart 1.jpg	Lake 15.jpg	1	2	3	32	1.536406e+00
Sunset 4.jpg	Lake 15.jpg	Cotton swabs 2.jpg	Gazing 7.jpg	1	5	5	34	2.546487e+00
Dirt 5.jpg	Bored pose 1.jpg	Gazing 7.jpg	Feces 1.jpg	1	3	2	31	7.019360e-01
Dead bodies 1.jpg	Injury 4.jpg	Spider 2.jpg	Feces 2.jpg	1	3	1	30	1.465112e+00
Cotton swabs 2.jpg	Sunset 3.jpg	Nature 1.jpg	Bored pose 1.jpg	1	1	2	31	1.785934e+00
Cat 10.jpg	Cotton swabs 2.jpg	Bored pose 1.jpg	Severed finger 1.jpg	1	4	2	31	1.047692e+00
Fence 4.jpg	Lake 14.jpg	Wedding 12.jpg	Office supplies 1.jpg	1	5	3	32	2.390113e+00
Severed finger 1.jpg	Goat 2.jpg	Feces 1.jpg	Dog 19.jpg	1	5	1	30	1.579708e+00
Street 4.jpg	Bored pose 1.jpg	Fence 2.jpg	Heart 1.jpg	1	5	2	31	3.549818e+00
Lake 12.jpg	Plane crash 3.jpg	Sunset 3.jpg	Goat 2.jpg	1	2	5	34	1.956824e+00
Lake 14.jpg	Goat 2.jpg	Plane crash 3.jpg	Dirt 5.jpg	1	3	4	33	3.860122e+00
Gazing 7.jpg	Cliff diver 1.jpg	Cotton swabs 2.jpg	Bar 2.jpg	1	3	3	32	5.204565e+00
Beach 2.jpg	Nature 1.jpg	Cat 10.jpg	Fire hydrant 2.jpg	1	5	4	33	1.930370e+00
Feces 2.jpg	Injury 4.jpg	Tumor 1.jpg	Spider 2.jpg	1	5	1	30	8.274713e-01
Sunset 3.jpg	KKK rally 1.jpg	Cat 10.jpg	Dog 19.jpg	1	2	2	31	1.890962e+00
Tumor 1.jpg	Cliff diver 1.jpg	Lake 12.jpg	Injury 4.jpg	1	1	2	31	5.433765e+00
