Participant: MM
11 29 18 14:32:59
image_duration: 0.20
precue_duration: 1.00
pause_duration: 0.50
nBlocks: 4
image_1	image_2	image_3	image_4	pre_or_post_cue	which_image_cued	pelasure	key_pressed	rt	
Street 4.jpg	Goat 2.jpg	Dirt 5.jpg	Fence 4.jpg	2	2	5	34	6.550721e-01
Fire hydrant 2.jpg	Lake 12.jpg	Injury 1.jpg	Feces 2.jpg	2	4	4	33	8.402342e-01
Dirt 5.jpg	Fence 4.jpg	Cliff diver 1.jpg	Lake 14.jpg	2	5	3	32	8.943058e-01
Dog 13.jpg	Office supplies 1.jpg	Feces 2.jpg	Gazing 7.jpg	2	1	9	38	4.358300e-01
Office supplies 1.jpg	Nature 1.jpg	Plane crash 3.jpg	Beach 2.jpg	2	3	7	36	6.004411e-01
Dirt 5.jpg	Spider 2.jpg	Dog 13.jpg	Lake 12.jpg	2	1	5	34	1.068954e+00
Lake 12.jpg	Office supplies 1.jpg	Dirt 5.jpg	Wedding 12.jpg	2	3	9	38	4.010512e-01
Severed finger 1.jpg	Injury 1.jpg	Dead bodies 1.jpg	Fence 2.jpg	2	4	5	34	1.150638e+00
Injury 4.jpg	Spider 2.jpg	Bar 2.jpg	Feces 2.jpg	2	5	4	33	6.550329e-01
Alcohol 5.jpg	Sunset 3.jpg	Cat 10.jpg	Lake 15.jpg	2	2	8	37	3.466891e-01
Tumor 1.jpg	Alcohol 5.jpg	Dirt 5.jpg	KKK rally 1.jpg	2	3	2	31	3.813409e-01
Lake 9.jpg	Heart 1.jpg	Wedding 12.jpg	Cotton swabs 2.jpg	2	2	9	38	3.876607e-01
Feces 1.jpg	Cliff diver 1.jpg	Nature 1.jpg	Severed finger 1.jpg	2	3	4	33	7.002360e-01
Spider 2.jpg	Street 4.jpg	Fence 4.jpg	Bar 2.jpg	2	4	4	33	3.354221e-01
Plane crash 3.jpg	Spider 2.jpg	Bar 2.jpg	Gazing 7.jpg	2	2	4	33	1.212793e+00
Bored pose 1.jpg	Dirt 5.jpg	Nature 1.jpg	Sunset 3.jpg	2	3	2	31	8.743876e-01
Nature 1.jpg	Plane crash 3.jpg	Lake 12.jpg	Feces 1.jpg	2	1	7	36	3.393089e-01
Cotton swabs 2.jpg	Fence 4.jpg	Office supplies 1.jpg	Nature 1.jpg	2	1	3	32	3.378219e-01
Bar 2.jpg	KKK rally 1.jpg	Bored pose 1.jpg	Cotton swabs 2.jpg	2	1	5	34	3.523876e-01
Injury 4.jpg	Feces 1.jpg	KKK rally 1.jpg	Dirt 5.jpg	2	4	1	30	1.729826e-01
Cliff diver 1.jpg	Goat 2.jpg	Dog 19.jpg	Feces 2.jpg	2	1	8	37	3.372186e-01
Severed finger 1.jpg	Cotton swabs 2.jpg	Fire hydrant 2.jpg	KKK rally 1.jpg	2	5	3	32	1.496789e+00
Wedding 12.jpg	Heart 1.jpg	Sunset 3.jpg	Bored pose 1.jpg	2	2	5	34	2.464799e+00
Goat 2.jpg	Severed finger 1.jpg	Alcohol 5.jpg	Fence 4.jpg	2	3	6	35	8.053851e-01
Fence 4.jpg	Feces 2.jpg	Severed finger 1.jpg	Spider 2.jpg	2	1	3	32	3.203372e-01
Dog 19.jpg	Goat 2.jpg	Spider 2.jpg	Tumor 1.jpg	2	1	8	37	2.404073e-01
Wedding 12.jpg	Lake 9.jpg	Lake 15.jpg	Gazing 7.jpg	2	5	7	36	4.426855e-01
Beach 2.jpg	Feces 2.jpg	Dirt 5.jpg	Fence 4.jpg	2	4	4	33	2.325903e+00
Cat 10.jpg	Sunset 4.jpg	Office supplies 1.jpg	Severed finger 1.jpg	2	2	7	36	7.644214e-01
Heart 1.jpg	Sunset 4.jpg	Alcohol 5.jpg	Fire hydrant 2.jpg	2	4	7	36	6.290689e-01
Gazing 7.jpg	Severed finger 1.jpg	Heart 1.jpg	Feces 1.jpg	2	3	8	37	6.909596e-01
Feces 2.jpg	Dog 19.jpg	Bar 2.jpg	Sunset 4.jpg	2	2	2	31	5.699297e-01
Lake 14.jpg	Feces 2.jpg	Office supplies 1.jpg	Fire hydrant 2.jpg	2	4	9	38	7.679172e-02
Injury 1.jpg	Bored pose 1.jpg	Bar 2.jpg	Fire hydrant 2.jpg	2	4	2	31	3.527795e-01
Dead bodies 1.jpg	Injury 1.jpg	Fence 2.jpg	Street 4.jpg	2	5	3	32	4.531578e-01
Sunset 4.jpg	Nature 1.jpg	Severed finger 1.jpg	Lake 15.jpg	2	2	8	37	9.093567e-02
Sunset 3.jpg	Dirt 5.jpg	Gazing 7.jpg	Lake 15.jpg	2	4	8	37	2.805987e+00
Bored pose 1.jpg	Dog 13.jpg	Heart 1.jpg	Lake 12.jpg	2	5	6	35	5.870398e-01
Alcohol 5.jpg	Sunset 3.jpg	Beach 2.jpg	Goat 2.jpg	2	5	8	37	1.254121e+00
Dead bodies 1.jpg	Feces 2.jpg	Severed finger 1.jpg	Injury 1.jpg	2	2	4	33	7.791431e-01
Tumor 1.jpg	Dog 19.jpg	Office supplies 1.jpg	Nature 1.jpg	2	5	4	33	9.462717e-01
Lake 15.jpg	KKK rally 1.jpg	Dog 13.jpg	Feces 1.jpg	2	3	8	37	6.769264e-01
KKK rally 1.jpg	Lake 9.jpg	Injury 4.jpg	Fire hydrant 2.jpg	2	1	1	30	3.976639e-01
Feces 1.jpg	Plane crash 3.jpg	Sunset 4.jpg	Cat 10.jpg	2	5	3	32	1.397399e+00
Fence 2.jpg	Wedding 12.jpg	Spider 2.jpg	KKK rally 1.jpg	2	3	7	36	4.731924e-01
Fence 2.jpg	Wedding 12.jpg	Spider 2.jpg	KKK rally 1.jpg	1	3	5	34	3.523523e+00
