Participant: NW
12 13 18 15:59:11
image_duration: 0.20
precue_duration: 1.00
pause_duration: 0.50
nBlocks: 4
image_1	image_2	image_3	image_4	pre_or_post_cue	which_image_cued	pelasure	key_pressed	rt	
Bar 2.jpg	Dirt 5.jpg	Sunset 4.jpg	Goat 2.jpg	2	3	7	36	7.773617e-01
Plane crash 3.jpg	Cliff diver 1.jpg	Nature 1.jpg	Severed finger 1.jpg	2	3	6	35	1.054940e+00
Cat 10.jpg	Injury 1.jpg	Lake 9.jpg	Fence 2.jpg	2	2	4	33	2.942605e+00
Fence 4.jpg	Street 4.jpg	Feces 1.jpg	Dead bodies 1.jpg	2	4	7	36	1.181451e+00
Tumor 1.jpg	Sunset 3.jpg	Cat 10.jpg	Lake 15.jpg	2	2	1	30	5.443844e-01
Cotton swabs 2.jpg	Feces 2.jpg	Street 4.jpg	Injury 4.jpg	2	5	4	33	1.409432e+00
Feces 2.jpg	Bar 2.jpg	Injury 4.jpg	Dog 19.jpg	2	1	3	32	3.592839e+00
Dirt 5.jpg	Fire hydrant 2.jpg	Lake 9.jpg	Injury 1.jpg	2	4	4	33	1.300964e+00
Injury 1.jpg	Bored pose 1.jpg	Goat 2.jpg	Plane crash 3.jpg	2	5	1	30	1.198559e+00
Fence 2.jpg	Cotton swabs 2.jpg	Injury 4.jpg	Lake 15.jpg	2	4	6	35	7.781733e-01
Sunset 4.jpg	Lake 9.jpg	Wedding 12.jpg	Severed finger 1.jpg	2	5	4	33	8.183946e-01
Feces 1.jpg	Fence 2.jpg	Goat 2.jpg	Dog 13.jpg	2	2	4	33	2.108624e+00
Lake 12.jpg	Feces 1.jpg	Beach 2.jpg	Injury 1.jpg	2	3	9	38	7.148324e-01
Injury 1.jpg	Plane crash 3.jpg	Lake 12.jpg	Feces 1.jpg	2	1	1	30	2.453474e-01
KKK rally 1.jpg	Lake 12.jpg	Office supplies 1.jpg	Alcohol 5.jpg	2	5	1	30	1.882218e+00
Lake 9.jpg	Office supplies 1.jpg	Feces 2.jpg	Gazing 7.jpg	2	3	8	37	4.186912e-01
Dead bodies 1.jpg	Spider 2.jpg	Lake 14.jpg	Lake 15.jpg	2	5	3	32	6.975663e-01
Street 4.jpg	Wedding 12.jpg	Spider 2.jpg	Heart 1.jpg	2	4	6	35	5.977726e-01
Alcohol 5.jpg	Sunset 3.jpg	Injury 4.jpg	Spider 2.jpg	2	1	5	34	1.628406e+00
Dog 19.jpg	Injury 1.jpg	Bar 2.jpg	Plane crash 3.jpg	2	3	6	35	1.378488e+00
Cotton swabs 2.jpg	Wedding 12.jpg	Office supplies 1.jpg	Tumor 1.jpg	2	4	3	32	1.202306e+00
Spider 2.jpg	KKK rally 1.jpg	Lake 9.jpg	Sunset 3.jpg	2	1	4	33	1.775059e+00
Sunset 3.jpg	Lake 9.jpg	Injury 4.jpg	Fire hydrant 2.jpg	2	3	9	38	4.766874e-01
Beach 2.jpg	Cat 10.jpg	Alcohol 5.jpg	Gazing 7.jpg	2	4	9	38	1.367770e-01
Nature 1.jpg	Office supplies 1.jpg	Cotton swabs 2.jpg	Wedding 12.jpg	2	4	9	38	5.912057e-01
Office supplies 1.jpg	Alcohol 5.jpg	Dirt 5.jpg	KKK rally 1.jpg	2	3	6	35	8.093990e-01
Beach 2.jpg	Fire hydrant 2.jpg	Cliff diver 1.jpg	Cat 10.jpg	2	5	7	36	7.722524e-01
Gazing 7.jpg	Dirt 5.jpg	Nature 1.jpg	Tumor 1.jpg	2	5	4	33	1.046954e+00
Dead bodies 1.jpg	Spider 2.jpg	Bar 2.jpg	Gazing 7.jpg	2	2	1	30	5.775849e-01
KKK rally 1.jpg	Spider 2.jpg	Fence 4.jpg	Tumor 1.jpg	2	3	1	30	5.454717e-01
Lake 15.jpg	Severed finger 1.jpg	Plane crash 3.jpg	Gazing 7.jpg	2	2	8	37	6.499474e-01
Lake 14.jpg	Dog 19.jpg	KKK rally 1.jpg	Beach 2.jpg	2	2	9	38	5.208402e-01
Cliff diver 1.jpg	Wedding 12.jpg	KKK rally 1.jpg	Beach 2.jpg	2	1	7	36	8.682144e-01
Fence 2.jpg	Fence 4.jpg	Sunset 3.jpg	Heart 1.jpg	2	5	5	34	9.734407e-01
Severed finger 1.jpg	Injury 1.jpg	Dead bodies 1.jpg	Fence 2.jpg	2	1	2	31	5.917873e-01
Bored pose 1.jpg	Feces 2.jpg	Office supplies 1.jpg	Fire hydrant 2.jpg	2	4	3	32	5.028095e-01
Heart 1.jpg	Alcohol 5.jpg	Lake 14.jpg	Sunset 3.jpg	2	4	5	34	2.375831e+00
Injury 4.jpg	Plane crash 3.jpg	Fire hydrant 2.jpg	Nature 1.jpg	2	1	1	30	1.105845e-01
Feces 1.jpg	Dog 13.jpg	Dog 19.jpg	Bar 2.jpg	2	5	6	35	1.118469e+00
