Participant: RO
02 13 20 15:33:20
image_duration: 0.20
precue_duration: 1.00
pause_duration: 0.50
nBlocks: 4
image_1	image_2	image_3	image_4	pre_or_post_cue	which_image_cued	pelasure	key_pressed	rt	
Lake 9.jpg	Lake 12.jpg	Feces 2.jpg	Dog 13.jpg	2	2	3	32	1.743193e-02
Alcohol 5.jpg	Lake 14.jpg	Severed finger 1.jpg	Fence 2.jpg	2	3	3	32	3.829358e-01
Fire hydrant 2.jpg	Cotton swabs 2.jpg	Dog 19.jpg	Nature 1.jpg	2	3	9	38	2.747356e+00
Gazing 7.jpg	Dead bodies 1.jpg	KKK rally 1.jpg	Wedding 12.jpg	2	4	1	30	3.946110e-01
Fence 2.jpg	KKK rally 1.jpg	Fence 4.jpg	Sunset 3.jpg	2	2	1	30	7.630429e-02
Nature 1.jpg	Bar 2.jpg	Office supplies 1.jpg	Feces 2.jpg	2	5	7	36	1.124495e+00
Plane crash 3.jpg	Lake 9.jpg	Severed finger 1.jpg	Sunset 3.jpg	2	1	7	36	2.744461e-01
Cotton swabs 2.jpg	KKK rally 1.jpg	Tumor 1.jpg	Beach 2.jpg	2	5	4	33	4.813011e-01
Sunset 4.jpg	Fire hydrant 2.jpg	Injury 4.jpg	Lake 12.jpg	2	5	6	35	1.153161e+00
Feces 1.jpg	Sunset 4.jpg	Fire hydrant 2.jpg	Severed finger 1.jpg	2	3	3	32	1.021003e-01
Beach 2.jpg	Sunset 3.jpg	Dog 13.jpg	Dead bodies 1.jpg	2	3	6	35	3.137797e+00
Sunset 4.jpg	Severed finger 1.jpg	Feces 2.jpg	Heart 1.jpg	2	1	4	33	1.411686e+00
Severed finger 1.jpg	Cotton swabs 2.jpg	Dog 19.jpg	Alcohol 5.jpg	2	1	4	33	4.864971e-01
Lake 12.jpg	Sunset 4.jpg	Cotton swabs 2.jpg	Street 4.jpg	2	4	9	38	2.024521e-01
Spider 2.jpg	Cotton swabs 2.jpg	Street 4.jpg	Fire hydrant 2.jpg	2	4	7	36	4.539190e+00
Nature 1.jpg	Wedding 12.jpg	Bar 2.jpg	Tumor 1.jpg	2	1	3	32	8.654289e-01
Bar 2.jpg	Cat 10.jpg	Dog 13.jpg	Injury 1.jpg	2	4	3	32	2.839211e+00
Dirt 5.jpg	Sunset 3.jpg	Plane crash 3.jpg	KKK rally 1.jpg	2	2	2	31	7.690267e-01
Cotton swabs 2.jpg	Feces 1.jpg	Tumor 1.jpg	Fence 4.jpg	2	1	3	32	6.720547e-01
Bored pose 1.jpg	Spider 2.jpg	Dog 19.jpg	Street 4.jpg	2	3	9	38	8.829504e-01
Dead bodies 1.jpg	Plane crash 3.jpg	Bored pose 1.jpg	Lake 9.jpg	2	5	2	31	1.260441e+00
Lake 15.jpg	Sunset 4.jpg	Dog 19.jpg	KKK rally 1.jpg	2	1	2	31	3.617643e+00
Feces 1.jpg	Sunset 3.jpg	Fence 4.jpg	Lake 14.jpg	2	5	7	36	1.028051e-02
KKK rally 1.jpg	Feces 1.jpg	Dead bodies 1.jpg	Bar 2.jpg	2	3	1	30	2.339813e-02
Street 4.jpg	Dog 19.jpg	Nature 1.jpg	Dirt 5.jpg	2	2	9	38	4.640338e-01
Sunset 3.jpg	Severed finger 1.jpg	Dog 13.jpg	Plane crash 3.jpg	2	4	9	38	1.136780e+00
Heart 1.jpg	Cat 10.jpg	Nature 1.jpg	Gazing 7.jpg	2	1	8	37	8.463468e-01
Dead bodies 1.jpg	Fence 2.jpg	Lake 12.jpg	Injury 1.jpg	2	2	7	36	1.422441e+00
Fence 4.jpg	Wedding 12.jpg	Gazing 7.jpg	Injury 1.jpg	2	2	8	37	2.837466e-01
Cat 10.jpg	Sunset 4.jpg	Fence 2.jpg	Injury 4.jpg	2	3	3	32	1.068662e-02
Injury 4.jpg	Spider 2.jpg	Lake 14.jpg	Cat 10.jpg	2	1	2	31	1.945706e-01
Cliff diver 1.jpg	Dog 13.jpg	Spider 2.jpg	Gazing 7.jpg	2	5	7	36	1.229860e-01
Goat 2.jpg	KKK rally 1.jpg	Office supplies 1.jpg	Wedding 12.jpg	2	1	7	36	9.638144e-01
Tumor 1.jpg	Dirt 5.jpg	Injury 1.jpg	Lake 15.jpg	2	3	2	31	4.289716e+00
Fence 2.jpg	Heart 1.jpg	Alcohol 5.jpg	Wedding 12.jpg	2	5	3	32	4.120430e-01
Office supplies 1.jpg	Bored pose 1.jpg	Fire hydrant 2.jpg	Bar 2.jpg	2	2	7	36	8.959571e-02
Injury 1.jpg	Dirt 5.jpg	Cat 10.jpg	Lake 15.jpg	2	5	2	31	1.570206e-01
Dog 19.jpg	Dog 13.jpg	Bored pose 1.jpg	Plane crash 3.jpg	2	4	9	38	7.269293e-01
Injury 1.jpg	Tumor 1.jpg	Fence 2.jpg	Lake 14.jpg	2	3	2	31	3.316134e+00
Wedding 12.jpg	Cotton swabs 2.jpg	Cat 10.jpg	Dirt 5.jpg	2	2	4	33	2.711495e+00
Dog 19.jpg	Goat 2.jpg	Street 4.jpg	Severed finger 1.jpg	2	5	3	32	8.301732e-01
Dog 13.jpg	Goat 2.jpg	Sunset 3.jpg	Dog 19.jpg	2	4	3	32	1.022671e-01
Feces 2.jpg	Injury 4.jpg	Fence 4.jpg	Dirt 5.jpg	2	4	3	32	2.120616e+00
Lake 14.jpg	Office supplies 1.jpg	Feces 2.jpg	Goat 2.jpg	2	4	3	32	4.948840e-01
Cliff diver 1.jpg	Spider 2.jpg	Alcohol 5.jpg	Cat 10.jpg	2	2	8	37	4.361685e-01
Heart 1.jpg	Cat 10.jpg	Nature 1.jpg	Gazing 7.jpg	1	1	5	34	1.363425e+00
Spider 2.jpg	Cotton swabs 2.jpg	Street 4.jpg	Fire hydrant 2.jpg	1	4	3	32	1.169113e-01
Cliff diver 1.jpg	Dog 13.jpg	Spider 2.jpg	Gazing 7.jpg	1	5	9	38	8.039400e-01
