Participant: YC
11 28 18 15:30:10
image_duration: 0.20
precue_duration: 1.00
pause_duration: 0.50
nBlocks: 4
image_1	image_2	image_3	image_4	pre_or_post_cue	which_image_cued	pelasure	key_pressed	rt	
Tumor 1.jpg	Injury 4.jpg	Nature 1.jpg	Cotton swabs 2.jpg	1	3	1	30	1.049390e+00
Bar 2.jpg	Fence 4.jpg	Wedding 12.jpg	Tumor 1.jpg	1	2	5	34	1.559359e+00
Cliff diver 1.jpg	Goat 2.jpg	Cat 10.jpg	Alcohol 5.jpg	1	5	6	35	1.421734e+00
Beach 2.jpg	Feces 1.jpg	Dirt 5.jpg	Dog 19.jpg	1	5	6	35	3.979655e-01
Dirt 5.jpg	Injury 4.jpg	Dog 13.jpg	Injury 1.jpg	1	1	3	32	9.943044e-01
Spider 2.jpg	Street 4.jpg	Gazing 7.jpg	Feces 2.jpg	1	1	2	31	1.794919e-01
Gazing 7.jpg	Plane crash 3.jpg	Sunset 3.jpg	Nature 1.jpg	1	1	5	34	4.627340e-01
Sunset 4.jpg	Lake 15.jpg	Dirt 5.jpg	Dog 13.jpg	1	4	6	35	1.522412e-01
Lake 12.jpg	Lake 15.jpg	Beach 2.jpg	Fence 4.jpg	1	4	6	35	2.411598e+00
Dog 19.jpg	Lake 15.jpg	Lake 14.jpg	Lake 9.jpg	1	4	7	36	2.795758e-01
Fence 4.jpg	Cat 10.jpg	Fire hydrant 2.jpg	Nature 1.jpg	1	2	4	33	7.583880e-01
Fence 2.jpg	Dirt 5.jpg	Lake 14.jpg	Feces 2.jpg	1	1	3	32	2.872762e-01
Injury 1.jpg	Fence 2.jpg	Dirt 5.jpg	Bored pose 1.jpg	1	2	1	30	4.376330e-02
Goat 2.jpg	Office supplies 1.jpg	Nature 1.jpg	Bored pose 1.jpg	1	3	4	33	1.023580e+00
Lake 12.jpg	Bar 2.jpg	Heart 1.jpg	Feces 2.jpg	1	5	4	33	8.066687e-01
Cat 10.jpg	Feces 1.jpg	Dog 13.jpg	Dead bodies 1.jpg	1	1	6	35	1.393952e+00
Lake 15.jpg	Heart 1.jpg	Lake 9.jpg	Cliff diver 1.jpg	1	3	6	35	6.049518e-01
KKK rally 1.jpg	Heart 1.jpg	Lake 9.jpg	Beach 2.jpg	1	4	3	32	1.078460e+00
Wedding 12.jpg	Lake 14.jpg	Bored pose 1.jpg	Fence 2.jpg	1	5	5	34	7.526473e-01
Street 4.jpg	Bar 2.jpg	Severed finger 1.jpg	Nature 1.jpg	1	4	6	35	4.576884e-01
Plane crash 3.jpg	Sunset 4.jpg	Dead bodies 1.jpg	KKK rally 1.jpg	1	5	4	33	6.245795e-01
Injury 4.jpg	Feces 2.jpg	Dog 19.jpg	Gazing 7.jpg	1	4	1	30	1.117201e-01
Plane crash 3.jpg	Cliff diver 1.jpg	Fence 2.jpg	Lake 12.jpg	1	2	5	34	5.243339e-01
Spider 2.jpg	Lake 9.jpg	Gazing 7.jpg	Injury 1.jpg	1	5	2	31	4.311836e-02
Dead bodies 1.jpg	Street 4.jpg	Sunset 3.jpg	Injury 1.jpg	1	3	2	31	4.506357e-01
Feces 1.jpg	Sunset 4.jpg	Lake 14.jpg	Tumor 1.jpg	1	4	2	31	2.466507e-01
Heart 1.jpg	Beach 2.jpg	Sunset 4.jpg	Wedding 12.jpg	1	3	3	32	3.327586e-01
Wedding 12.jpg	Cotton swabs 2.jpg	Bar 2.jpg	Bored pose 1.jpg	1	3	3	32	5.079840e-01
Lake 9.jpg	Nature 1.jpg	Feces 2.jpg	Lake 14.jpg	1	4	6	35	6.248043e-01
Lake 14.jpg	Fence 4.jpg	Cotton swabs 2.jpg	Injury 1.jpg	1	2	6	35	5.224117e-01
Sunset 3.jpg	Plane crash 3.jpg	Bar 2.jpg	Wedding 12.jpg	1	1	5	34	5.316636e-01
Dog 13.jpg	Nature 1.jpg	Feces 1.jpg	Plane crash 3.jpg	1	2	7	36	1.117744e+00
Beach 2.jpg	Office supplies 1.jpg	Severed finger 1.jpg	Cotton swabs 2.jpg	1	1	5	34	2.467681e+00
Fire hydrant 2.jpg	Wedding 12.jpg	Lake 14.jpg	Dirt 5.jpg	1	3	4	33	1.423644e+00
Feces 2.jpg	Dead bodies 1.jpg	Cotton swabs 2.jpg	Beach 2.jpg	1	1	3	32	2.069020e-01
Alcohol 5.jpg	Bored pose 1.jpg	Cotton swabs 2.jpg	Severed finger 1.jpg	1	1	4	33	1.375596e+00
Cotton swabs 2.jpg	Severed finger 1.jpg	Fence 4.jpg	Tumor 1.jpg	1	5	1	30	4.722655e-02
Nature 1.jpg	Feces 1.jpg	Lake 12.jpg	Cliff diver 1.jpg	1	2	5	34	2.738153e+00
Fire hydrant 2.jpg	Sunset 3.jpg	Lake 15.jpg	Dog 13.jpg	1	5	5	34	1.395151e-01
Cotton swabs 2.jpg	Plane crash 3.jpg	Severed finger 1.jpg	Feces 1.jpg	1	3	3	32	8.881869e-01
Bored pose 1.jpg	Bar 2.jpg	Office supplies 1.jpg	Sunset 4.jpg	1	4	4	33	2.344745e+00
Office supplies 1.jpg	Nature 1.jpg	Street 4.jpg	Injury 4.jpg	1	5	1	30	1.779027e-01
Office supplies 1.jpg	Cotton swabs 2.jpg	Alcohol 5.jpg	Fire hydrant 2.jpg	1	2	4	33	3.581257e+00
Cliff diver 1.jpg	Fire hydrant 2.jpg	Dog 13.jpg	Office supplies 1.jpg	1	3	6	35	9.145025e-01
Severed finger 1.jpg	Dog 19.jpg	Lake 15.jpg	Feces 2.jpg	1	2	1	30	1.516176e-01
