Participant: cx
02 14 20 11:32:14
image_duration: 0.20
precue_duration: 1.00
pause_duration: 0.50
nBlocks: 4
image_1	image_2	image_3	image_4	pre_or_post_cue	which_image_cued	pelasure	key_pressed	rt	
Fire hydrant 2.jpg	Dirt 5.jpg	Injury 4.jpg	Cat 10.jpg	2	5	4	33	4.405394e+00
KKK rally 1.jpg	Fire hydrant 2.jpg	Feces 2.jpg	Office supplies 1.jpg	2	2	6	35	1.489535e+00
Gazing 7.jpg	Goat 2.jpg	Sunset 4.jpg	Lake 15.jpg	2	3	4	33	1.296069e+00
Bored pose 1.jpg	Severed finger 1.jpg	Cliff diver 1.jpg	Spider 2.jpg	2	3	4	33	7.600422e-01
Heart 1.jpg	Feces 2.jpg	Nature 1.jpg	Severed finger 1.jpg	2	3	8	37	5.999570e-01
Feces 1.jpg	Beach 2.jpg	Gazing 7.jpg	Lake 14.jpg	2	2	7	36	9.260805e-01
Fence 4.jpg	Sunset 4.jpg	Dog 19.jpg	Street 4.jpg	2	4	8	37	8.877599e-01
Fire hydrant 2.jpg	Fence 2.jpg	Dog 13.jpg	Street 4.jpg	2	1	3	32	7.173038e-01
Street 4.jpg	Dirt 5.jpg	Dog 13.jpg	Office supplies 1.jpg	2	4	6	35	1.676649e+00
Beach 2.jpg	Sunset 4.jpg	Dog 19.jpg	Wedding 12.jpg	2	2	9	38	2.174083e-01
Lake 12.jpg	Office supplies 1.jpg	Alcohol 5.jpg	Nature 1.jpg	2	1	8	37	1.849860e-01
Wedding 12.jpg	Cliff diver 1.jpg	Bored pose 1.jpg	Plane crash 3.jpg	2	4	6	35	4.335839e-01
Cliff diver 1.jpg	Cotton swabs 2.jpg	Fence 2.jpg	Spider 2.jpg	2	1	8	37	3.512417e-01
Nature 1.jpg	Cotton swabs 2.jpg	Dead bodies 1.jpg	Lake 9.jpg	2	5	7	36	9.387174e-01
Dog 19.jpg	Fence 2.jpg	Cliff diver 1.jpg	Lake 15.jpg	2	3	5	34	6.899728e-01
Injury 1.jpg	Street 4.jpg	Wedding 12.jpg	Heart 1.jpg	2	4	2	31	1.384373e+00
Fence 2.jpg	Plane crash 3.jpg	Tumor 1.jpg	Lake 15.jpg	2	2	5	34	7.753457e-01
Lake 15.jpg	Fire hydrant 2.jpg	Lake 14.jpg	Wedding 12.jpg	2	2	7	36	6.347777e-01
Office supplies 1.jpg	Injury 1.jpg	Severed finger 1.jpg	Dog 13.jpg	2	1	4	33	3.323760e-01
Dog 13.jpg	Beach 2.jpg	Cotton swabs 2.jpg	Sunset 4.jpg	2	4	5	34	9.207964e-01
Feces 2.jpg	Fence 4.jpg	Office supplies 1.jpg	Heart 1.jpg	2	5	7	36	8.827237e-01
Bar 2.jpg	Fence 2.jpg	Dog 13.jpg	Dog 19.jpg	2	2	9	38	3.166895e-01
Dead bodies 1.jpg	Dirt 5.jpg	Lake 9.jpg	Bar 2.jpg	2	3	3	32	7.738389e-01
Spider 2.jpg	Fence 4.jpg	Injury 1.jpg	Sunset 3.jpg	2	1	4	33	2.081369e+00
Sunset 3.jpg	Injury 1.jpg	Dog 19.jpg	Gazing 7.jpg	2	5	4	33	1.980363e+00
Plane crash 3.jpg	Office supplies 1.jpg	Spider 2.jpg	Heart 1.jpg	2	1	5	34	6.438958e-01
Sunset 3.jpg	Lake 14.jpg	Injury 4.jpg	Bored pose 1.jpg	2	1	9	38	1.031126e+00
Lake 14.jpg	Dead bodies 1.jpg	Fence 4.jpg	Injury 4.jpg	2	3	8	37	4.361649e+00
Feces 2.jpg	Cliff diver 1.jpg	Sunset 4.jpg	Fire hydrant 2.jpg	2	4	6	35	5.369167e-01
Tumor 1.jpg	Sunset 4.jpg	Wedding 12.jpg	Bar 2.jpg	2	2	1	30	2.030703e+00
Cotton swabs 2.jpg	Severed finger 1.jpg	Cat 10.jpg	Heart 1.jpg	2	3	6	35	2.100335e+00
Goat 2.jpg	Sunset 4.jpg	Office supplies 1.jpg	Cotton swabs 2.jpg	2	4	9	38	4.403457e-02
Beach 2.jpg	Lake 14.jpg	Severed finger 1.jpg	Spider 2.jpg	2	5	8	37	1.982633e+00
Nature 1.jpg	Heart 1.jpg	Injury 4.jpg	Feces 2.jpg	2	2	7	36	8.586282e-01
Lake 15.jpg	Bar 2.jpg	Fence 2.jpg	Street 4.jpg	2	5	8	37	2.771688e-01
Alcohol 5.jpg	Heart 1.jpg	Fence 2.jpg	Street 4.jpg	2	3	6	35	7.071107e-01
Dirt 5.jpg	Cotton swabs 2.jpg	Feces 1.jpg	Fence 4.jpg	2	3	7	36	5.140033e-01
Sunset 4.jpg	Injury 1.jpg	Gazing 7.jpg	Dirt 5.jpg	2	1	8	37	1.770644e+00
Wedding 12.jpg	Lake 12.jpg	KKK rally 1.jpg	Tumor 1.jpg	2	5	2	31	8.476224e+00
Feces 1.jpg	Alcohol 5.jpg	Plane crash 3.jpg	Cliff diver 1.jpg	2	5	7	36	1.160750e+00
Lake 9.jpg	Fire hydrant 2.jpg	Tumor 1.jpg	Lake 15.jpg	2	2	8	37	1.524871e+00
Injury 4.jpg	Dead bodies 1.jpg	Bored pose 1.jpg	Lake 9.jpg	2	4	1	30	6.725023e-01
Cat 10.jpg	Fire hydrant 2.jpg	Dog 19.jpg	Plane crash 3.jpg	2	1	7	36	1.306817e+00
Severed finger 1.jpg	Injury 4.jpg	Nature 1.jpg	Beach 2.jpg	2	4	1	30	9.039297e-01
Bored pose 1.jpg	Dog 13.jpg	Sunset 4.jpg	Goat 2.jpg	2	5	6	35	3.973974e+00
Bored pose 1.jpg	Dog 13.jpg	Sunset 4.jpg	Goat 2.jpg	1	5	7	36	6.290015e+00
Wedding 12.jpg	Cliff diver 1.jpg	Bored pose 1.jpg	Plane crash 3.jpg	1	4	6	35	4.003627e-01
Sunset 4.jpg	Injury 1.jpg	Gazing 7.jpg	Dirt 5.jpg	1	1	9	38	4.135018e+00
Fire hydrant 2.jpg	Fence 2.jpg	Dog 13.jpg	Street 4.jpg	1	1	3	32	2.325159e-02
Cotton swabs 2.jpg	Severed finger 1.jpg	Cat 10.jpg	Heart 1.jpg	1	3	5	34	1.136728e+00
Dirt 5.jpg	Cotton swabs 2.jpg	Feces 1.jpg	Fence 4.jpg	1	3	4	33	7.205014e-01
Wedding 12.jpg	Lake 12.jpg	KKK rally 1.jpg	Tumor 1.jpg	1	5	1	30	3.039536e+00
Beach 2.jpg	Lake 14.jpg	Severed finger 1.jpg	Spider 2.jpg	1	5	2	31	1.581108e+00
Bar 2.jpg	Fence 2.jpg	Dog 13.jpg	Dog 19.jpg	1	2	3	32	4.202841e-01
Office supplies 1.jpg	Injury 1.jpg	Severed finger 1.jpg	Dog 13.jpg	1	1	4	33	3.765183e+00
Cliff diver 1.jpg	Cotton swabs 2.jpg	Fence 2.jpg	Spider 2.jpg	1	1	7	36	1.434606e+00
Sunset 3.jpg	Injury 1.jpg	Dog 19.jpg	Gazing 7.jpg	1	5	3	32	4.401420e-01
Severed finger 1.jpg	Injury 4.jpg	Nature 1.jpg	Beach 2.jpg	1	4	1	30	1.372446e+00
Street 4.jpg	Dirt 5.jpg	Dog 13.jpg	Office supplies 1.jpg	1	4	8	37	2.192799e+00
Beach 2.jpg	Sunset 4.jpg	Dog 19.jpg	Wedding 12.jpg	1	2	9	38	1.981229e+00
Injury 4.jpg	Dead bodies 1.jpg	Bored pose 1.jpg	Lake 9.jpg	1	4	1	30	5.121126e-02
Feces 2.jpg	Cliff diver 1.jpg	Sunset 4.jpg	Fire hydrant 2.jpg	1	4	1	30	2.017699e+00
Plane crash 3.jpg	Office supplies 1.jpg	Spider 2.jpg	Heart 1.jpg	1	1	1	30	1.307903e-01
Lake 15.jpg	Bar 2.jpg	Fence 2.jpg	Street 4.jpg	1	5	7	36	1.007016e+00
Lake 9.jpg	Fire hydrant 2.jpg	Tumor 1.jpg	Lake 15.jpg	1	2	8	37	1.276637e+00
Tumor 1.jpg	Sunset 4.jpg	Wedding 12.jpg	Bar 2.jpg	1	2	1	30	3.524984e+00
Spider 2.jpg	Fence 4.jpg	Injury 1.jpg	Sunset 3.jpg	1	1	8	37	2.029344e+00
Fence 2.jpg	Plane crash 3.jpg	Tumor 1.jpg	Lake 15.jpg	1	2	8	37	4.305239e-01
Lake 12.jpg	Office supplies 1.jpg	Alcohol 5.jpg	Nature 1.jpg	1	1	8	37	3.673270e+00
Feces 2.jpg	Fence 4.jpg	Office supplies 1.jpg	Heart 1.jpg	1	5	8	37	1.338633e+00
Dog 19.jpg	Fence 2.jpg	Cliff diver 1.jpg	Lake 15.jpg	1	3	6	35	6.872116e-01
Heart 1.jpg	Feces 2.jpg	Nature 1.jpg	Severed finger 1.jpg	1	3	7	36	3.637037e-01
Fence 4.jpg	Sunset 4.jpg	Dog 19.jpg	Street 4.jpg	1	4	8	37	2.846115e-01
Dog 13.jpg	Beach 2.jpg	Cotton swabs 2.jpg	Sunset 4.jpg	1	4	6	35	1.043121e-02
Fire hydrant 2.jpg	Dirt 5.jpg	Injury 4.jpg	Cat 10.jpg	1	5	1	30	7.221075e-01
Lake 15.jpg	Fire hydrant 2.jpg	Lake 14.jpg	Wedding 12.jpg	1	2	9	38	1.172560e-01
Cat 10.jpg	Fire hydrant 2.jpg	Dog 19.jpg	Plane crash 3.jpg	1	1	7	36	3.732238e-01
Bored pose 1.jpg	Severed finger 1.jpg	Cliff diver 1.jpg	Spider 2.jpg	1	3	7	36	1.237416e+00
Sunset 3.jpg	Lake 14.jpg	Injury 4.jpg	Bored pose 1.jpg	1	1	9	38	2.341179e+00
Nature 1.jpg	Cotton swabs 2.jpg	Dead bodies 1.jpg	Lake 9.jpg	1	5	1	30	3.043426e-01
Feces 1.jpg	Beach 2.jpg	Gazing 7.jpg	Lake 14.jpg	1	2	1	30	1.059574e+00
KKK rally 1.jpg	Fire hydrant 2.jpg	Feces 2.jpg	Office supplies 1.jpg	1	2	6	35	3.287636e+00
Gazing 7.jpg	Goat 2.jpg	Sunset 4.jpg	Lake 15.jpg	1	3	6	35	1.100907e+00
Nature 1.jpg	Heart 1.jpg	Injury 4.jpg	Feces 2.jpg	1	2	4	33	2.433032e-01
Injury 1.jpg	Street 4.jpg	Wedding 12.jpg	Heart 1.jpg	1	4	1	30	1.127342e+00
Feces 1.jpg	Alcohol 5.jpg	Plane crash 3.jpg	Cliff diver 1.jpg	1	5	1	30	5.804998e-01
Alcohol 5.jpg	Heart 1.jpg	Fence 2.jpg	Street 4.jpg	1	3	6	35	6.975088e-01
Dead bodies 1.jpg	Dirt 5.jpg	Lake 9.jpg	Bar 2.jpg	1	3	1	30	5.259951e+00
Goat 2.jpg	Sunset 4.jpg	Office supplies 1.jpg	Cotton swabs 2.jpg	1	4	6	35	1.157134e+00
Lake 14.jpg	Dead bodies 1.jpg	Fence 4.jpg	Injury 4.jpg	1	3	7	36	4.401834e-01
Beach 2.jpg	Dog 13.jpg	Cliff diver 1.jpg	Severed finger 1.jpg	2	5	2	31	3.751671e+00
Injury 4.jpg	Cotton swabs 2.jpg	Dirt 5.jpg	Injury 1.jpg	2	1	1	30	5.230204e-01
Office supplies 1.jpg	Feces 2.jpg	KKK rally 1.jpg	Dead bodies 1.jpg	2	1	4	33	9.446207e-01
Fence 2.jpg	Street 4.jpg	Lake 9.jpg	Nature 1.jpg	2	4	8	37	6.931415e-01
Fire hydrant 2.jpg	Dog 19.jpg	Beach 2.jpg	Severed finger 1.jpg	2	3	3	32	3.447871e-01
Gazing 7.jpg	Fence 4.jpg	Lake 12.jpg	Injury 1.jpg	2	4	6	35	1.340436e+00
Bored pose 1.jpg	Fence 2.jpg	Lake 9.jpg	Lake 15.jpg	2	2	7	36	3.716000e-01
Dead bodies 1.jpg	KKK rally 1.jpg	Spider 2.jpg	Office supplies 1.jpg	2	3	1	30	2.323753e-01
Cotton swabs 2.jpg	Cliff diver 1.jpg	Nature 1.jpg	Sunset 4.jpg	2	4	5	34	6.276195e-01
Heart 1.jpg	Plane crash 3.jpg	Dog 13.jpg	Bored pose 1.jpg	2	1	8	37	1.090457e+00
Injury 1.jpg	Fire hydrant 2.jpg	Street 4.jpg	Fence 4.jpg	2	1	1	30	1.319274e-01
Tumor 1.jpg	Sunset 4.jpg	Dirt 5.jpg	KKK rally 1.jpg	2	2	1	30	2.404938e+00
Lake 14.jpg	Fence 4.jpg	Lake 15.jpg	Injury 4.jpg	2	5	2	31	1.230496e+00
Plane crash 3.jpg	Sunset 3.jpg	Fence 2.jpg	KKK rally 1.jpg	2	5	7	36	1.610791e+00
Feces 2.jpg	Bar 2.jpg	Cotton swabs 2.jpg	Feces 1.jpg	2	1	1	30	5.704021e-02
Wedding 12.jpg	Alcohol 5.jpg	Cat 10.jpg	Dirt 5.jpg	2	3	1	30	2.415583e+00
Dog 19.jpg	Lake 12.jpg	Severed finger 1.jpg	Dead bodies 1.jpg	2	1	1	30	5.398619e-01
Spider 2.jpg	Bored pose 1.jpg	Street 4.jpg	Injury 1.jpg	2	4	8	37	6.470463e-01
Feces 2.jpg	Dog 19.jpg	Spider 2.jpg	Bored pose 1.jpg	2	5	1	30	2.872145e-01
