Participant: ec
11 26 18 15:13:10
image_duration: 0.20
precue_duration: 1.00
pause_duration: 0.50
nBlocks: 4
image_1	image_2	image_3	image_4	pre_or_post_cue	which_image_cued	pelasure	key_pressed	rt	
Feces 2.jpg	Sunset 4.jpg	Street 4.jpg	Injury 1.jpg	1	4	1	30	1.028625e+00
KKK rally 1.jpg	Dog 13.jpg	Beach 2.jpg	Lake 9.jpg	1	5	5	34	3.032067e+00
Severed finger 1.jpg	Dog 19.jpg	Gazing 7.jpg	Dirt 5.jpg	1	4	1	30	1.073445e-01
Cliff diver 1.jpg	Wedding 12.jpg	Lake 9.jpg	Cotton swabs 2.jpg	1	3	1	30	9.149037e-01
Office supplies 1.jpg	Dirt 5.jpg	Feces 2.jpg	Beach 2.jpg	1	4	1	30	1.129731e+00
Gazing 7.jpg	Goat 2.jpg	Plane crash 3.jpg	Lake 14.jpg	1	2	3	32	2.908133e+00
Wedding 12.jpg	Nature 1.jpg	Cliff diver 1.jpg	Severed finger 1.jpg	1	4	5	34	1.147477e+00
Heart 1.jpg	Tumor 1.jpg	Sunset 3.jpg	Bar 2.jpg	1	2	1	30	2.339198e+00
Goat 2.jpg	Sunset 3.jpg	Fence 2.jpg	Cat 10.jpg	1	3	5	34	2.498751e+00
Bar 2.jpg	Severed finger 1.jpg	Cotton swabs 2.jpg	Lake 15.jpg	1	5	1	30	3.512660e+00
Bored pose 1.jpg	Feces 1.jpg	Gazing 7.jpg	Injury 1.jpg	1	5	1	30	2.326881e-02
Street 4.jpg	Lake 14.jpg	Dirt 5.jpg	Spider 2.jpg	1	5	4	33	5.932299e-01
Tumor 1.jpg	Beach 2.jpg	Bar 2.jpg	Lake 15.jpg	1	1	1	30	9.542512e+00
Fence 4.jpg	Plane crash 3.jpg	Gazing 7.jpg	Lake 14.jpg	1	3	3	32	3.617674e+00
Cat 10.jpg	Dog 19.jpg	Goat 2.jpg	Wedding 12.jpg	1	5	6	35	2.779210e+00
Lake 9.jpg	Beach 2.jpg	Cat 10.jpg	Dirt 5.jpg	1	2	4	33	1.385235e-01
Nature 1.jpg	Cotton swabs 2.jpg	Fire hydrant 2.jpg	Dirt 5.jpg	1	1	5	34	1.542473e+00
Dog 19.jpg	Lake 15.jpg	Dog 13.jpg	Feces 2.jpg	1	4	6	35	2.201171e+00
Fire hydrant 2.jpg	Feces 1.jpg	Cat 10.jpg	Dog 19.jpg	1	4	1	30	9.734719e-01
Lake 12.jpg	Fence 4.jpg	Bored pose 1.jpg	Cat 10.jpg	1	2	5	34	8.235528e-01
Sunset 3.jpg	Dirt 5.jpg	Injury 4.jpg	Cotton swabs 2.jpg	1	1	6	35	6.826578e-01
Fence 2.jpg	Fence 4.jpg	Cotton swabs 2.jpg	Cat 10.jpg	1	4	1	30	1.573786e+00
Plane crash 3.jpg	Fire hydrant 2.jpg	Alcohol 5.jpg	Wedding 12.jpg	1	4	1	30	9.433676e-01
Bored pose 1.jpg	Dog 19.jpg	Nature 1.jpg	Cotton swabs 2.jpg	1	3	1	30	1.052321e+00
Feces 1.jpg	Nature 1.jpg	Dog 13.jpg	Fire hydrant 2.jpg	1	1	1	30	2.578294e+00
Injury 4.jpg	Heart 1.jpg	Fire hydrant 2.jpg	Fence 4.jpg	1	1	1	30	6.485355e-01
Beach 2.jpg	Sunset 3.jpg	Wedding 12.jpg	Cotton swabs 2.jpg	1	2	5	34	9.018911e-01
Injury 1.jpg	Wedding 12.jpg	Street 4.jpg	Bar 2.jpg	1	3	1	30	1.687108e+00
