Participant: jz
02 13 20 13:37:12
image_duration: 0.20
precue_duration: 1.00
pause_duration: 0.50
nBlocks: 4
image_1	image_2	image_3	image_4	pre_or_post_cue	which_image_cued	pelasure	key_pressed	rt	
Spider 2.jpg	Heart 1.jpg	Street 4.jpg	Dog 19.jpg	2	3	8	37	3.874451e+00
Street 4.jpg	Fire hydrant 2.jpg	Beach 2.jpg	Sunset 3.jpg	2	2	9	38	1.473328e+00
Lake 12.jpg	Fence 4.jpg	Beach 2.jpg	Cat 10.jpg	2	3	8	37	1.484980e+00
Tumor 1.jpg	Spider 2.jpg	Bored pose 1.jpg	Sunset 4.jpg	2	5	6	35	2.745955e+00
Cliff diver 1.jpg	Sunset 4.jpg	KKK rally 1.jpg	Street 4.jpg	2	2	7	36	2.821842e+00
Injury 4.jpg	Wedding 12.jpg	Dead bodies 1.jpg	Beach 2.jpg	2	2	2	31	6.981204e-01
Goat 2.jpg	Bored pose 1.jpg	Plane crash 3.jpg	Bar 2.jpg	2	2	5	34	1.841042e+00
Dog 19.jpg	Heart 1.jpg	Severed finger 1.jpg	Cotton swabs 2.jpg	2	3	7	36	8.211395e-01
Sunset 3.jpg	Lake 14.jpg	Lake 12.jpg	Dirt 5.jpg	2	4	8	37	2.741425e+00
Fire hydrant 2.jpg	Wedding 12.jpg	Bored pose 1.jpg	Sunset 4.jpg	2	2	7	36	8.551075e-01
Fence 2.jpg	Gazing 7.jpg	Beach 2.jpg	Alcohol 5.jpg	2	1	9	38	1.090968e+00
Alcohol 5.jpg	Cliff diver 1.jpg	Injury 4.jpg	Sunset 3.jpg	2	3	8	37	1.941113e+00
Fence 4.jpg	Dirt 5.jpg	Lake 9.jpg	Dead bodies 1.jpg	2	3	2	31	5.956105e-01
Heart 1.jpg	Dead bodies 1.jpg	Injury 1.jpg	Lake 12.jpg	2	1	9	38	1.224326e+00
Cotton swabs 2.jpg	Office supplies 1.jpg	Cliff diver 1.jpg	Lake 14.jpg	2	2	3	32	2.094885e+00
Beach 2.jpg	Fire hydrant 2.jpg	Lake 12.jpg	Cat 10.jpg	2	1	9	38	6.498096e-01
Cliff diver 1.jpg	Cotton swabs 2.jpg	Street 4.jpg	Fence 2.jpg	2	5	4	33	3.135298e+00
Dead bodies 1.jpg	Tumor 1.jpg	KKK rally 1.jpg	Fire hydrant 2.jpg	2	2	8	37	9.992492e-01
Lake 9.jpg	Nature 1.jpg	Lake 15.jpg	Lake 14.jpg	2	2	8	37	4.408544e-01
Gazing 7.jpg	Plane crash 3.jpg	Alcohol 5.jpg	Lake 9.jpg	2	5	6	35	2.181028e+00
KKK rally 1.jpg	Sunset 4.jpg	Lake 14.jpg	Bored pose 1.jpg	2	3	3	32	1.743510e+00
Feces 2.jpg	Goat 2.jpg	Spider 2.jpg	Beach 2.jpg	2	4	3	32	4.806906e-01
Feces 1.jpg	Plane crash 3.jpg	Alcohol 5.jpg	Lake 14.jpg	2	3	8	37	1.244065e+00
Wedding 12.jpg	Dead bodies 1.jpg	Alcohol 5.jpg	Tumor 1.jpg	2	1	3	32	7.008109e-01
Beach 2.jpg	Fire hydrant 2.jpg	Dirt 5.jpg	Lake 14.jpg	2	5	9	38	1.820204e+00
Lake 15.jpg	Fence 4.jpg	Lake 12.jpg	Wedding 12.jpg	2	5	8	37	2.724139e+00
Dog 13.jpg	Cat 10.jpg	Feces 2.jpg	Cliff diver 1.jpg	2	1	8	37	4.399639e-01
Injury 4.jpg	Dog 19.jpg	Office supplies 1.jpg	Nature 1.jpg	2	5	7	36	1.787845e+00
Cat 10.jpg	KKK rally 1.jpg	Dog 13.jpg	Heart 1.jpg	2	5	6	35	1.884294e+00
Injury 1.jpg	Goat 2.jpg	Feces 1.jpg	Bar 2.jpg	2	5	3	32	1.480336e+00
Lake 15.jpg	Cotton swabs 2.jpg	Severed finger 1.jpg	Fence 2.jpg	2	4	5	34	1.311198e+00
Injury 1.jpg	Dog 19.jpg	Cat 10.jpg	Alcohol 5.jpg	2	1	1	30	5.135969e-01
Gazing 7.jpg	Cotton swabs 2.jpg	Dirt 5.jpg	Sunset 4.jpg	2	2	4	33	1.778858e+00
Severed finger 1.jpg	Fence 2.jpg	Street 4.jpg	Dog 13.jpg	2	4	3	32	1.197441e+00
Severed finger 1.jpg	Sunset 3.jpg	Dead bodies 1.jpg	Feces 2.jpg	2	5	2	31	1.103282e+00
Bored pose 1.jpg	Cotton swabs 2.jpg	Lake 15.jpg	Dead bodies 1.jpg	2	4	3	32	2.174596e+00
Lake 14.jpg	Cotton swabs 2.jpg	Dog 19.jpg	Dog 13.jpg	2	1	8	37	5.405060e-01
Tumor 1.jpg	Plane crash 3.jpg	Goat 2.jpg	Injury 1.jpg	2	4	3	32	2.054482e+00
