Participant: sjl
02 14 20 10:33:27
image_duration: 0.20
precue_duration: 1.00
pause_duration: 0.50
nBlocks: 4
image_1	image_2	image_3	image_4	pre_or_post_cue	which_image_cued	pelasure	key_pressed	rt	
Alcohol 5.jpg	Sunset 3.jpg	Injury 4.jpg	Cotton swabs 2.jpg	2	1	6	35	2.650959e+00
Wedding 12.jpg	Injury 1.jpg	Fence 4.jpg	Lake 15.jpg	2	5	3	32	1.767668e+00
Gazing 7.jpg	Lake 14.jpg	Sunset 4.jpg	Dead bodies 1.jpg	2	1	4	33	1.938028e+00
Lake 14.jpg	Lake 9.jpg	Dog 13.jpg	Goat 2.jpg	2	5	5	34	1.106418e+00
Injury 4.jpg	Lake 14.jpg	Tumor 1.jpg	Dirt 5.jpg	2	4	1	30	9.045349e-01
Dead bodies 1.jpg	Cotton swabs 2.jpg	Goat 2.jpg	Fire hydrant 2.jpg	2	1	1	30	6.006515e-01
Wedding 12.jpg	Street 4.jpg	Bored pose 1.jpg	Gazing 7.jpg	2	1	7	36	8.705551e-01
Bar 2.jpg	Gazing 7.jpg	Spider 2.jpg	KKK rally 1.jpg	2	2	5	34	7.399764e-01
Fence 4.jpg	Dog 13.jpg	Nature 1.jpg	Lake 9.jpg	2	1	5	34	1.670442e+00
Street 4.jpg	Plane crash 3.jpg	Fence 2.jpg	Feces 1.jpg	2	3	6	35	4.933814e-01
Sunset 4.jpg	Bar 2.jpg	Plane crash 3.jpg	Cotton swabs 2.jpg	2	5	5	34	7.340294e-01
Heart 1.jpg	Bar 2.jpg	Tumor 1.jpg	Alcohol 5.jpg	2	2	5	34	1.662790e+00
Cat 10.jpg	Injury 4.jpg	Nature 1.jpg	Sunset 3.jpg	2	5	4	33	1.048452e+00
Lake 14.jpg	Fence 4.jpg	Lake 12.jpg	Sunset 4.jpg	2	1	7	36	6.607153e-01
Cotton swabs 2.jpg	Injury 4.jpg	Dead bodies 1.jpg	Lake 14.jpg	2	4	4	33	5.898430e-01
Tumor 1.jpg	KKK rally 1.jpg	Fire hydrant 2.jpg	Feces 1.jpg	2	2	1	30	7.286850e-01
Goat 2.jpg	Injury 4.jpg	Tumor 1.jpg	Cat 10.jpg	2	3	4	33	1.378602e+00
Fence 2.jpg	Dead bodies 1.jpg	Office supplies 1.jpg	Dirt 5.jpg	2	5	5	34	5.144434e-01
Fence 2.jpg	Lake 14.jpg	Fence 4.jpg	Goat 2.jpg	2	1	4	33	6.006227e-01
Spider 2.jpg	Injury 4.jpg	Injury 1.jpg	Lake 9.jpg	2	4	5	34	2.046722e-01
Dog 19.jpg	Alcohol 5.jpg	Heart 1.jpg	Plane crash 3.jpg	2	4	7	36	9.067445e-01
Nature 1.jpg	Bored pose 1.jpg	Wedding 12.jpg	Dead bodies 1.jpg	2	1	8	37	4.610816e-01
Lake 15.jpg	Bar 2.jpg	Tumor 1.jpg	Feces 1.jpg	2	2	6	35	8.229388e-01
Bored pose 1.jpg	Goat 2.jpg	Lake 9.jpg	KKK rally 1.jpg	2	2	5	34	7.673667e-01
Gazing 7.jpg	Alcohol 5.jpg	Fire hydrant 2.jpg	Tumor 1.jpg	2	5	5	34	4.041986e-01
Feces 1.jpg	Lake 12.jpg	Sunset 3.jpg	Fire hydrant 2.jpg	2	3	6	35	3.507372e-01
Lake 9.jpg	Beach 2.jpg	Sunset 4.jpg	Heart 1.jpg	2	3	6	35	1.055518e-02
Plane crash 3.jpg	Lake 12.jpg	Spider 2.jpg	Gazing 7.jpg	2	2	5	34	4.281185e-01
Cliff diver 1.jpg	Nature 1.jpg	Bored pose 1.jpg	Wedding 12.jpg	2	3	5	34	4.840866e+00
Injury 1.jpg	Fence 2.jpg	Plane crash 3.jpg	KKK rally 1.jpg	2	1	1	30	9.210288e-01
